stock_code,short_name,listed_legal_full_name,official_list_name,list_year,event_type,candidate_basis,review_status_x,leading_firm_direct_match,exchange_source_url,moa_source_url,identity_decision,decision_reason,primary_source_url,source_date,review_status_y
000568,泸州老窖,泸州老窖股份有限公司,泸州老窖集团有限责任公司,2014,monitor_pass,证券简称核心词出现在官方名单名称中，但当前法人全称不一致,待人工核实母集团/子公司/更名/无关同名；不得直接赋值,0,https://www.szse.cn/api/report/index/companyGeneralization?secCode=000568,https://www.moa.gov.cn/nybgb/2014/shi/201712/P020180104776701107212.pdf,related_party_not_listed_entity,年度报告明确名单主体为上市公司控股股东而非上市公司本体,https://static.cninfo.com.cn/finalpage/2025-04-28/1223350383.pdf,2025-04-26,已核实_排除
000639,ST西王,西王食品股份有限公司,西王集团有限公司,2014,monitor_pass,证券简称核心词出现在官方名单名称中，但当前法人全称不一致,待人工核实母集团/子公司/更名/无关同名；不得直接赋值,0,https://www.szse.cn/api/report/index/companyGeneralization?secCode=000639,https://www.moa.gov.cn/nybgb/2014/shi/201712/P020180104776701107212.pdf,related_party_not_listed_entity,法定披露明确名单主体为上市公司控股股东而非上市公司本体,https://static.cninfo.com.cn/finalpage/2018-02-22/1204427933.PDF,2018-02-14,已核实_排除
000639,ST西王,西王食品股份有限公司,西王集团有限公司,2018,monitor_pass,证券简称核心词出现在官方名单名称中，但当前法人全称不一致,待人工核实母集团/子公司/更名/无关同名；不得直接赋值,0,https://www.szse.cn/api/report/index/companyGeneralization?secCode=000639,https://xccys.moa.gov.cn/gzdt/201812/t20181205_6314544.htm,related_party_not_listed_entity,法定披露明确名单主体为上市公司控股股东而非上市公司本体,https://static.cninfo.com.cn/finalpage/2018-02-22/1204427933.PDF,2018-02-14,已核实_排除
000639,ST西王,西王食品股份有限公司,西王集团有限公司,2020,monitor_pass,证券简称核心词出现在官方名单名称中，但当前法人全称不一致,待人工核实母集团/子公司/更名/无关同名；不得直接赋值,0,https://www.szse.cn/api/report/index/companyGeneralization?secCode=000639,https://www.moa.gov.cn/nybgb/2020/202012/202102/P020210201587636946140.pdf,related_party_not_listed_entity,法定披露明确名单主体为上市公司控股股东而非上市公司本体,https://static.cninfo.com.cn/finalpage/2018-02-22/1204427933.PDF,2018-02-14,已核实_排除
000639,ST西王,西王食品股份有限公司,西王集团有限公司,2023,monitor_pass,证券简称核心词出现在官方名单名称中，但当前法人全称不一致,待人工核实母集团/子公司/更名/无关同名；不得直接赋值,0,https://www.szse.cn/api/report/index/companyGeneralization?secCode=000639,https://www.moa.gov.cn/nybgb/2023/202306/202307/P020230719348171286633.pdf,related_party_not_listed_entity,法定披露明确名单主体为上市公司控股股东而非上市公司本体,https://static.cninfo.com.cn/finalpage/2018-02-22/1204427933.PDF,2018-02-14,已核实_排除
000713,国投丰乐,国投丰乐种业股份有限公司,合肥丰乐种业股份有限公司,2014,monitor_pass,剔除常见公司后缀后的名称相似度=0.667，但当前法人全称不一致,待人工核实母集团/子公司/更名/无关同名；不得直接赋值,1,https://www.szse.cn/api/report/index/companyGeneralization?secCode=000713,https://www.moa.gov.cn/nybgb/2014/shi/201712/P020180104776701107212.pdf,direct_same_legal_entity,半年度报告明确当前公司曾用名单名称且证券代码保持000713,https://static.cninfo.com.cn/finalpage/2025-08-30/1224620910.PDF,2025-08-29,已核实
000713,国投丰乐,国投丰乐种业股份有限公司,合肥丰乐种业股份有限公司,2018,monitor_pass,剔除常见公司后缀后的名称相似度=0.667，但当前法人全称不一致,待人工核实母集团/子公司/更名/无关同名；不得直接赋值,1,https://www.szse.cn/api/report/index/companyGeneralization?secCode=000713,https://xccys.moa.gov.cn/gzdt/201812/t20181205_6314544.htm,direct_same_legal_entity,半年度报告明确当前公司曾用名单名称且证券代码保持000713,https://static.cninfo.com.cn/finalpage/2025-08-30/1224620910.PDF,2025-08-29,已核实
000713,国投丰乐,国投丰乐种业股份有限公司,合肥丰乐种业股份有限公司,2020,monitor_pass,剔除常见公司后缀后的名称相似度=0.667，但当前法人全称不一致,待人工核实母集团/子公司/更名/无关同名；不得直接赋值,1,https://www.szse.cn/api/report/index/companyGeneralization?secCode=000713,https://www.moa.gov.cn/nybgb/2020/202012/202102/P020210201587636946140.pdf,direct_same_legal_entity,半年度报告明确当前公司曾用名单名称且证券代码保持000713,https://static.cninfo.com.cn/finalpage/2025-08-30/1224620910.PDF,2025-08-29,已核实
000713,国投丰乐,国投丰乐种业股份有限公司,合肥丰乐种业股份有限公司,2023,monitor_pass,剔除常见公司后缀后的名称相似度=0.667，但当前法人全称不一致,待人工核实母集团/子公司/更名/无关同名；不得直接赋值,1,https://www.szse.cn/api/report/index/companyGeneralization?secCode=000713,https://www.moa.gov.cn/nybgb/2023/202306/202307/P020230719348171286633.pdf,direct_same_legal_entity,半年度报告明确当前公司曾用名单名称且证券代码保持000713,https://static.cninfo.com.cn/finalpage/2025-08-30/1224620910.PDF,2025-08-29,已核实
000848,承德露露,承德露露股份公司,河北承德露露股份有限公司,2014,monitor_pass,证券简称核心词出现在官方名单名称中，但当前法人全称不一致,待人工核实母集团/子公司/更名/无关同名；不得直接赋值,1,https://www.szse.cn/api/report/index/companyGeneralization?secCode=000848,https://www.moa.gov.cn/nybgb/2014/shi/201712/P020180104776701107212.pdf,direct_same_legal_entity,上市公司公告列明由旧全称变更为当前全称；证券代码不变,https://static.cninfo.com.cn/finalpage/2022-04-12/1212884374.PDF,2022-04-11,已核实
000848,承德露露,承德露露股份公司,河北承德露露股份有限公司,2018,monitor_pass,证券简称核心词出现在官方名单名称中，但当前法人全称不一致,待人工核实母集团/子公司/更名/无关同名；不得直接赋值,1,https://www.szse.cn/api/report/index/companyGeneralization?secCode=000848,https://xccys.moa.gov.cn/gzdt/201812/t20181205_6314544.htm,direct_same_legal_entity,上市公司公告列明由旧全称变更为当前全称；证券代码不变,https://static.cninfo.com.cn/finalpage/2022-04-12/1212884374.PDF,2022-04-11,已核实
000848,承德露露,承德露露股份公司,河北承德露露股份有限公司,2020,monitor_pass,证券简称核心词出现在官方名单名称中，但当前法人全称不一致,待人工核实母集团/子公司/更名/无关同名；不得直接赋值,1,https://www.szse.cn/api/report/index/companyGeneralization?secCode=000848,https://www.moa.gov.cn/nybgb/2020/202012/202102/P020210201587636946140.pdf,direct_same_legal_entity,上市公司公告列明由旧全称变更为当前全称；证券代码不变,https://static.cninfo.com.cn/finalpage/2022-04-12/1212884374.PDF,2022-04-11,已核实
001201,东瑞股份,东瑞食品集团股份有限公司,东瑞食品集团有限公司,2014,monitor_pass,剔除常见公司后缀后的名称相似度=1.000，但当前法人全称不一致,待人工核实母集团/子公司/更名/无关同名；不得直接赋值,0,https://www.szse.cn/api/report/index/companyGeneralization?secCode=001201,https://www.moa.gov.cn/nybgb/2014/shi/201712/P020180104776701107212.pdf,same_predecessor_but_no_eligible_listed_year,旧有限责任公司于2016年整体变更为股份公司但相关名单仅展开至2015且公司2021年才上市,https://static.cninfo.com.cn/finalpage/2023-12-27/1218734391.PDF,2023-12-27,已核实_无可用公司年份
001318,阳光乳业,江西阳光乳业股份有限公司,江西阳光乳业集团有限公司,2014,monitor_pass,证券简称核心词出现在官方名单名称中，但当前法人全称不一致,待人工核实母集团/子公司/更名/无关同名；不得直接赋值,0,https://www.szse.cn/api/report/index/companyGeneralization?secCode=001318,https://www.moa.gov.cn/nybgb/2014/shi/201712/P020180104776701107212.pdf,related_party_not_listed_entity,法定披露明确名单同名集团为上市公司控股股东而非上市公司本体,https://static.cninfo.com.cn/finalpage/2025-07-01/1224042005.PDF,2025-06-28,已核实_排除
001318,阳光乳业,江西阳光乳业股份有限公司,江西阳光乳业集团有限公司,2018,monitor_pass,证券简称核心词出现在官方名单名称中，但当前法人全称不一致,待人工核实母集团/子公司/更名/无关同名；不得直接赋值,0,https://www.szse.cn/api/report/index/companyGeneralization?secCode=001318,https://xccys.moa.gov.cn/gzdt/201812/t20181205_6314544.htm,related_party_not_listed_entity,法定披露明确名单同名集团为上市公司控股股东而非上市公司本体,https://static.cninfo.com.cn/finalpage/2025-07-01/1224042005.PDF,2025-06-28,已核实_排除
001318,阳光乳业,江西阳光乳业股份有限公司,江西阳光乳业集团有限公司,2020,monitor_pass,证券简称核心词出现在官方名单名称中，但当前法人全称不一致,待人工核实母集团/子公司/更名/无关同名；不得直接赋值,0,https://www.szse.cn/api/report/index/companyGeneralization?secCode=001318,https://www.moa.gov.cn/nybgb/2020/202012/202102/P020210201587636946140.pdf,related_party_not_listed_entity,法定披露明确名单同名集团为上市公司控股股东而非上市公司本体,https://static.cninfo.com.cn/finalpage/2025-07-01/1224042005.PDF,2025-06-28,已核实_排除
001318,阳光乳业,江西阳光乳业股份有限公司,江西阳光乳业集团有限公司,2023,monitor_pass,证券简称核心词出现在官方名单名称中，但当前法人全称不一致,待人工核实母集团/子公司/更名/无关同名；不得直接赋值,0,https://www.szse.cn/api/report/index/companyGeneralization?secCode=001318,https://www.moa.gov.cn/nybgb/2023/202306/202307/P020230719348171286633.pdf,related_party_not_listed_entity,法定披露明确名单同名集团为上市公司控股股东而非上市公司本体,https://static.cninfo.com.cn/finalpage/2025-07-01/1224042005.PDF,2025-06-28,已核实_排除
002299,圣农发展,福建圣农发展股份有限公司,福建省圣农实业有限公司,2014,monitor_pass,剔除常见公司后缀后的名称相似度=0.615，但当前法人全称不一致,待人工核实母集团/子公司/更名/无关同名；不得直接赋值,0,https://www.szse.cn/api/report/index/companyGeneralization?secCode=002299,https://www.moa.gov.cn/nybgb/2014/shi/201712/P020180104776701107212.pdf,related_party_not_listed_entity,年度报告明确名单主体为上市公司控股股东的曾用名而非上市公司本体,https://static.cninfo.com.cn/finalpage/2021-04-20/1209724366.PDF,2021-04-19,已核实_排除
002299,圣农发展,福建圣农发展股份有限公司,福建圣农控股集团有限公司,2018,monitor_pass,剔除常见公司后缀后的名称相似度=0.667，但当前法人全称不一致,待人工核实母集团/子公司/更名/无关同名；不得直接赋值,0,https://www.szse.cn/api/report/index/companyGeneralization?secCode=002299,https://xccys.moa.gov.cn/gzdt/201812/t20181205_6314544.htm,related_party_not_listed_entity,年度报告明确名单主体为上市公司控股股东而非上市公司本体,https://static.cninfo.com.cn/finalpage/2024-03-28/1219428601.PDF,2024-03-27,已核实_排除
002299,圣农发展,福建圣农发展股份有限公司,福建圣农控股集团有限公司,2020,monitor_pass,剔除常见公司后缀后的名称相似度=0.667，但当前法人全称不一致,待人工核实母集团/子公司/更名/无关同名；不得直接赋值,0,https://www.szse.cn/api/report/index/companyGeneralization?secCode=002299,https://www.moa.gov.cn/nybgb/2020/202012/202102/P020210201587636946140.pdf,related_party_not_listed_entity,年度报告明确名单主体为上市公司控股股东而非上市公司本体,https://static.cninfo.com.cn/finalpage/2024-03-28/1219428601.PDF,2024-03-27,已核实_排除
002299,圣农发展,福建圣农发展股份有限公司,福建圣农控股集团有限公司,2023,monitor_pass,剔除常见公司后缀后的名称相似度=0.667，但当前法人全称不一致,待人工核实母集团/子公司/更名/无关同名；不得直接赋值,0,https://www.szse.cn/api/report/index/companyGeneralization?secCode=002299,https://www.moa.gov.cn/nybgb/2023/202306/202307/P020230719348171286633.pdf,related_party_not_listed_entity,年度报告明确名单主体为上市公司控股股东而非上市公司本体,https://static.cninfo.com.cn/finalpage/2024-03-28/1219428601.PDF,2024-03-27,已核实_排除
002330,得利斯,山东得利斯食品股份有限公司,得利斯集团有限公司,2014,monitor_pass,证券简称核心词出现在官方名单名称中，但当前法人全称不一致,待人工核实母集团/子公司/更名/无关同名；不得直接赋值,0,https://www.szse.cn/api/report/index/companyGeneralization?secCode=002330,https://www.moa.gov.cn/nybgb/2014/shi/201712/P020180104776701107212.pdf,related_party_not_listed_entity,招股意向书明确名单主体为实际控制人控制的其他企业而非上市公司本体,https://static.cninfo.com.cn/finalpage/2009-12-15/57398351.PDF,2009-12-15,已核实_排除
002330,得利斯,山东得利斯食品股份有限公司,得利斯集团有限公司,2018,monitor_pass,证券简称核心词出现在官方名单名称中，但当前法人全称不一致,待人工核实母集团/子公司/更名/无关同名；不得直接赋值,0,https://www.szse.cn/api/report/index/companyGeneralization?secCode=002330,https://xccys.moa.gov.cn/gzdt/201812/t20181205_6314544.htm,related_party_not_listed_entity,招股意向书明确名单主体为实际控制人控制的其他企业而非上市公司本体,https://static.cninfo.com.cn/finalpage/2009-12-15/57398351.PDF,2009-12-15,已核实_排除
002330,得利斯,山东得利斯食品股份有限公司,得利斯集团有限公司,2020,monitor_pass,证券简称核心词出现在官方名单名称中，但当前法人全称不一致,待人工核实母集团/子公司/更名/无关同名；不得直接赋值,0,https://www.szse.cn/api/report/index/companyGeneralization?secCode=002330,https://www.moa.gov.cn/nybgb/2020/202012/202102/P020210201587636946140.pdf,related_party_not_listed_entity,招股意向书明确名单主体为实际控制人控制的其他企业而非上市公司本体,https://static.cninfo.com.cn/finalpage/2009-12-15/57398351.PDF,2009-12-15,已核实_排除
002330,得利斯,山东得利斯食品股份有限公司,得利斯集团有限公司,2023,monitor_pass,证券简称核心词出现在官方名单名称中，但当前法人全称不一致,待人工核实母集团/子公司/更名/无关同名；不得直接赋值,0,https://www.szse.cn/api/report/index/companyGeneralization?secCode=002330,https://www.moa.gov.cn/nybgb/2023/202306/202307/P020230719348171286633.pdf,related_party_not_listed_entity,招股意向书明确名单主体为实际控制人控制的其他企业而非上市公司本体,https://static.cninfo.com.cn/finalpage/2009-12-15/57398351.PDF,2009-12-15,已核实_排除
002431,ST棕榈,棕榈生态城镇发展股份有限公司,棕榈园林股份有限公司,2014,monitor_pass,证券简称核心词出现在官方名单名称中，但当前法人全称不一致,待人工核实母集团/子公司/更名/无关同名；不得直接赋值,1,https://www.szse.cn/api/report/index/companyGeneralization?secCode=002431,https://www.moa.gov.cn/nybgb/2014/shi/201712/P020180104776701107212.pdf,direct_same_legal_entity,更名公告明确名单名称变更为当前公司名称且证券代码保持002431,https://static.cninfo.com.cn/finalpage/2016-04-22/1202217348.PDF,2016-04-22,已核实
002515,金字火腿,金字火腿股份有限公司,金华金字火腿有限公司,2021,recognition,证券简称核心词出现在官方名单名称中，但当前法人全称不一致,待人工核实母集团/子公司/更名/无关同名；不得直接赋值,0,https://www.szse.cn/api/report/index/companyGeneralization?secCode=002515,https://xccys.moa.gov.cn/gzdt/202201/t20220113_6386872.htm,related_party_not_listed_entity,法定披露明确名单主体为上市公司全资子公司,https://static.cninfo.com.cn/finalpage/2025-10-28/1224743461.PDF,2025-10-27,已核实_排除
002582,好想你,好想你健康食品股份有限公司,好想你枣业股份有限公司,2014,monitor_pass,证券简称核心词出现在官方名单名称中，但当前法人全称不一致,待人工核实母集团/子公司/更名/无关同名；不得直接赋值,1,https://www.szse.cn/api/report/index/companyGeneralization?secCode=002582,https://www.moa.gov.cn/nybgb/2014/shi/201712/P020180104776701107212.pdf,direct_same_legal_entity,年度报告明确公司在报告期内由名单名称变更为当前名称且证券代码为002582,https://static.cninfo.com.cn/finalpage/2018-04-27/1204803986.PDF,2018-04-26,已核实
002695,煌上煌,江西煌上煌集团食品股份有限公司,煌上煌集团有限公司,2014,monitor_pass,证券简称核心词出现在官方名单名称中，但当前法人全称不一致,待人工核实母集团/子公司/更名/无关同名；不得直接赋值,0,https://www.szse.cn/api/report/index/companyGeneralization?secCode=002695,https://www.moa.gov.cn/nybgb/2014/shi/201712/P020180104776701107212.pdf,related_party_not_listed_entity,年度报告明确名单主体为上市公司控股股东而非上市公司本体,https://static.cninfo.com.cn/finalpage/2022-04-29/1213198455.PDF,2022-04-28,已核实_排除
