股票代码,公司全称,年份,行业分类代码,行业分类名称,分类标准口径,业务类别指纹,口径调整勾选,业务重大变化勾选,年报链接,年报主营业务表PDF页序号,当前复核状态,上一候选年份,与上一候选年文本相似度,业务类别指纹Jaccard,行业代码是否变化,是否跨分类标准,公司名称是否变化,年份是否连续,建议复核路径,分流原因
000713,国投丰乐种业股份有限公司,2015,5.0,农林牧渔服务业,证监会2012年修订版,农药|种子,不适用,未定位,https://static.cninfo.com.cn/finalpage/2016-06-13/1202363291.PDF,16,年报及业务表已定位；收入、重叠和样本结论待人工复核,2014,0.092125,0.4,否,否,否,是,深度复核,业务类别指纹变化较大
000713,国投丰乐种业股份有限公司,2016,5.0,农林牧渔服务业,证监会2012年修订版,农药|种子|种植,不适用,未定位,https://static.cninfo.com.cn/finalpage/2017-06-28/1203653421.PDF,18,年报及业务表已定位；收入、重叠和样本结论待人工复核,2015,0.811406,0.666667,否,否,否,是,快速表格核对,文本和业务类别相似度分流
000713,国投丰乐种业股份有限公司,2017,5.0,农林牧渔服务业,证监会2012年修订版,农药|化肥|种子|种植|贸易零售,不适用,未定位,https://static.cninfo.com.cn/finalpage/2018-06-16/1205063462.PDF,19,年报及业务表已定位；收入、重叠和样本结论待人工复核,2016,0.621137,0.6,否,否,否,是,标准人工复核,文本和业务类别相似度分流
000713,国投丰乐种业股份有限公司,2018,5.0,农林牧渔服务业,证监会2012年修订版,农药|种子|种植,不适用,未定位,https://static.cninfo.com.cn/finalpage/2019-04-18/1206046289.PDF,19,年报及业务表已定位；收入、重叠和样本结论待人工复核,2017,0.623472,0.6,否,否,否,是,标准人工复核,文本和业务类别相似度分流
000713,国投丰乐种业股份有限公司,2019,5.0,农林牧渔服务业,证监会2012年修订版,农药|种子,不适用,未定位,https://static.cninfo.com.cn/finalpage/2020-04-22/1207551951.PDF,24,年报及业务表已定位；收入、重叠和样本结论待人工复核,2018,0.590442,0.666667,否,否,否,是,标准人工复核,文本和业务类别相似度分流
000713,国投丰乐种业股份有限公司,2020,5.0,农林牧渔服务业,证监会2012年修订版,农药|化肥|医药|种子,不适用,未定位,https://static.cninfo.com.cn/finalpage/2021-04-28/1209832747.PDF,23,年报及业务表已定位；收入、重叠和样本结论待人工复核,2019,0.284606,0.5,否,否,否,是,标准人工复核,文本和业务类别相似度分流
000713,国投丰乐种业股份有限公司,2021,5.0,农林牧渔服务业,证监会2012年修订版,农药|化肥|种子|贸易零售,不适用,未定位,https://static.cninfo.com.cn/finalpage/2022-04-20/1212976110.PDF,22,年报及业务表已定位；收入、重叠和样本结论待人工复核,2020,0.52618,0.6,否,否,否,是,标准人工复核,文本和业务类别相似度分流
000713,国投丰乐种业股份有限公司,2023,5.0,农、林、牧、渔专业及辅助性活动,中国上市公司协会2023版,农药|化肥|种子|贸易零售,勾选状态待核实,未定位,https://static.cninfo.com.cn/finalpage/2024-04-26/1219827331.PDF,23,已人工复核（第一批）,2021,0.668817,1.0,否,是,否,否,快速表格核对,文本和业务类别相似度分流；候选年份不连续，不能视为插值
000735,罗牛山股份有限公司,2013,3.0,畜牧业,证监会2012年修订版,地产园林|屠宰肉制品|畜牧其他,不适用,未定位,https://static.cninfo.com.cn/finalpage/2014-04-30/63949358.PDF,16,年报及业务表已定位；收入、重叠和样本结论待人工复核,,,,首年,首年,首年,首年,首年锚点复核,该公司首次进入已核实行业候选，需要建立人工锚点
000735,罗牛山股份有限公司,2014,3.0,畜牧业,证监会2012年修订版,地产园林|屠宰肉制品|畜牧其他,不适用,未定位,https://static.cninfo.com.cn/finalpage/2015-03-21/1200724489.PDF,18,年报及业务表已定位；收入、重叠和样本结论待人工复核,2013,0.778461,1.0,否,否,否,是,快速表格核对,文本和业务类别相似度分流
000735,罗牛山股份有限公司,2015,3.0,畜牧业,证监会2012年修订版,地产园林|屠宰肉制品|生猪|畜牧其他,不适用,未定位,https://static.cninfo.com.cn/finalpage/2016-03-31/1202113092.PDF,12,年报及业务表已定位；收入、重叠和样本结论待人工复核,2014,0.186692,0.75,否,否,否,是,标准人工复核,文本和业务类别相似度分流
000735,罗牛山股份有限公司,2016,3.0,畜牧业,证监会2012年修订版,地产园林|屠宰肉制品|水产|生猪|畜牧其他|饲料,适用,未定位,https://static.cninfo.com.cn/finalpage/2017-03-31/1203238346.PDF,13,年报及业务表已定位；收入、重叠和样本结论待人工复核,2015,0.423631,0.666667,否,否,否,是,标准人工复核,文本和业务类别相似度分流
000735,罗牛山股份有限公司,2017,3.0,畜牧业,证监会2012年修订版,地产园林|屠宰肉制品|生猪|畜牧其他,适用,未定位,https://static.cninfo.com.cn/finalpage/2018-04-28/1204822803.PDF,18,年报及业务表已定位；收入、重叠和样本结论待人工复核,2016,0.408731,0.666667,否,否,否,是,标准人工复核,文本和业务类别相似度分流
000735,罗牛山股份有限公司,2018,3.0,畜牧业,证监会2012年修订版,地产园林|屠宰肉制品|生猪|畜牧其他,勾选状态待核实,未定位,https://static.cninfo.com.cn/finalpage/2019-04-25/1206088844.PDF,15,年报及业务表已定位；收入、重叠和样本结论待人工复核,2017,0.561747,1.0,否,否,否,是,快速表格核对,文本和业务类别相似度分流
000735,罗牛山股份有限公司,2019,3.0,畜牧业,证监会2012年修订版,地产园林|屠宰肉制品|生猪|畜牧其他,不适用,未定位,https://static.cninfo.com.cn/finalpage/2020-03-31/1207430997.PDF,15,年报及业务表已定位；收入、重叠和样本结论待人工复核,2018,0.718216,1.0,否,否,否,是,快速表格核对,文本和业务类别相似度分流
000735,罗牛山股份有限公司,2020,3.0,畜牧业,证监会2012年修订版,地产园林|屠宰肉制品|生猪|畜牧其他,不适用,未定位,https://static.cninfo.com.cn/finalpage/2021-05-22/1210046988.PDF,15,年报及业务表已定位；收入、重叠和样本结论待人工复核,2019,0.775795,1.0,否,否,否,是,快速表格核对,文本和业务类别相似度分流
000735,罗牛山股份有限公司,2021,3.0,畜牧业,证监会2012年修订版,地产园林|屠宰肉制品|生猪|畜牧其他,不适用,未定位,https://static.cninfo.com.cn/finalpage/2022-04-30/1213260459.PDF,18,年报及业务表已定位；收入、重叠和样本结论待人工复核,2020,0.747034,1.0,否,否,否,是,快速表格核对,文本和业务类别相似度分流
000735,罗牛山股份有限公司,2023,3.0,畜牧业,中国上市公司协会2023版,地产园林|屠宰肉制品|生猪|畜牧其他|贸易零售,勾选状态待核实,未定位,https://static.cninfo.com.cn/finalpage/2024-04-27/1219856343.PDF,18,已人工复核（第一批）,2021,0.531841,0.8,否,是,否,否,标准人工复核,文本和业务类别相似度分流；候选年份不连续，不能视为插值
000798,中水集团远洋股份有限公司,2013,4.0,渔业,证监会2012年修订版,地产园林|水产,不适用,未定位,https://static.cninfo.com.cn/finalpage/2014-04-25/63918750.PDF,16,年报及业务表已定位；收入、重叠和样本结论待人工复核,,,,首年,首年,首年,首年,首年锚点复核,该公司首次进入已核实行业候选，需要建立人工锚点
000798,中水集团远洋股份有限公司,2014,4.0,渔业,证监会2012年修订版,地产园林|水产|贸易零售,不适用,未定位,https://static.cninfo.com.cn/finalpage/2015-03-30/1200754520.PDF,16,年报及业务表已定位；收入、重叠和样本结论待人工复核,2013,0.220119,0.666667,否,否,否,是,标准人工复核,文本和业务类别相似度分流
000798,中水集团远洋股份有限公司,2015,4.0,渔业,证监会2012年修订版,水产,适用,未定位,https://static.cninfo.com.cn/finalpage/2016-04-29/1202268278.PDF,10,年报及业务表已定位；收入、重叠和样本结论待人工复核,2014,0.23847,0.333333,否,否,否,是,深度复核,业务类别指纹变化较大
000798,中水集团远洋股份有限公司,2016,4.0,渔业,证监会2012年修订版,水产|贸易零售,不适用,未定位,https://static.cninfo.com.cn/finalpage/2017-04-27/1203406664.PDF,12,年报及业务表已定位；收入、重叠和样本结论待人工复核,2015,0.568747,0.5,否,否,否,是,标准人工复核,文本和业务类别相似度分流
000798,中水集团远洋股份有限公司,2017,4.0,渔业,证监会2012年修订版,水产|贸易零售,不适用,未定位,https://static.cninfo.com.cn/finalpage/2019-07-13/1206443995.PDF,12,年报及业务表已定位；收入、重叠和样本结论待人工复核,2016,0.867201,1.0,否,否,否,是,快速表格核对,文本和业务类别相似度分流
000798,中水集团远洋股份有限公司,2018,4.0,渔业,证监会2012年修订版,水产|贸易零售,不适用,不适用,https://static.cninfo.com.cn/finalpage/2019-07-13/1206443996.PDF,12,年报及业务表已定位；收入、重叠和样本结论待人工复核,2017,0.396303,1.0,否,否,否,是,标准人工复核,文本和业务类别相似度分流
000798,中水集团远洋股份有限公司,2019,4.0,渔业,证监会2012年修订版,水产|贸易零售,不适用,未定位,https://static.cninfo.com.cn/finalpage/2020-04-10/1207473796.PDF,12,年报及业务表已定位；收入、重叠和样本结论待人工复核,2018,0.470906,1.0,否,否,否,是,标准人工复核,文本和业务类别相似度分流
000798,中水集团远洋股份有限公司,2020,4.0,渔业,证监会2012年修订版,水产|贸易零售,不适用,未定位,https://static.cninfo.com.cn/finalpage/2021-02-06/1209253238.PDF,12,年报及业务表已定位；收入、重叠和样本结论待人工复核,2019,0.943182,1.0,否,否,否,是,快速表格核对,文本和业务类别相似度分流
000798,中水集团远洋股份有限公司,2021,4.0,渔业,证监会2012年修订版,水产|贸易零售,不适用,未定位,https://static.cninfo.com.cn/finalpage/2022-02-10/1212333125.PDF,12,年报及业务表已定位；收入、重叠和样本结论待人工复核,2020,0.856796,1.0,否,否,否,是,快速表格核对,文本和业务类别相似度分流
000798,中水集团远洋股份有限公司,2023,4.0,渔业,中国上市公司协会2023版,水产|贸易零售,勾选状态待核实,未定位,https://static.cninfo.com.cn/finalpage/2024-03-28/1219426831.PDF,12,已人工复核（第一批）,2021,0.361965,1.0,否,是,否,否,标准人工复核,文本和业务类别相似度分流；候选年份不连续，不能视为插值
000998,袁隆平农业高科技股份有限公司,2013,1.0,农业,证监会2012年修订版,地产园林|果蔬初加工|种子,不适用,未定位,https://static.cninfo.com.cn/finalpage/2014-06-25/1200004735.PDF,22,年报及业务表已定位；收入、重叠和样本结论待人工复核,,,,首年,首年,首年,首年,首年锚点复核,该公司首次进入已核实行业候选，需要建立人工锚点
000998,袁隆平农业高科技股份有限公司,2014,1.0,农业,证监会2012年修订版,农药|地产园林|种子,不适用,未定位,https://static.cninfo.com.cn/finalpage/2015-04-28/1200922611.PDF,21,年报及业务表已定位；收入、重叠和样本结论待人工复核,2013,0.641616,0.5,否,否,否,是,标准人工复核,文本和业务类别相似度分流
000998,袁隆平农业高科技股份有限公司,2015,1.0,农业,证监会2012年修订版,果蔬初加工|种子,不适用,未定位,https://static.cninfo.com.cn/finalpage/2016-04-08/1202150869.PDF,24,年报及业务表已定位；收入、重叠和样本结论待人工复核,2014,0.034329,0.25,否,否,否,是,深度复核,业务类别指纹变化较大
000998,袁隆平农业高科技股份有限公司,2016,1.0,农业,证监会2012年修订版,果蔬初加工|种子,适用,未定位,https://static.cninfo.com.cn/finalpage/2017-04-28/1203415549.PDF,25,年报及业务表已定位；收入、重叠和样本结论待人工复核,2015,0.731474,1.0,否,否,否,是,快速表格核对,文本和业务类别相似度分流
000998,袁隆平农业高科技股份有限公司,2017,1.0,农业,证监会2012年修订版,果蔬初加工|种子,不适用,未定位,https://static.cninfo.com.cn/finalpage/2018-06-19/1205065798.PDF,20,年报及业务表已定位；收入、重叠和样本结论待人工复核,2016,0.772313,1.0,否,否,否,是,快速表格核对,文本和业务类别相似度分流
000998,袁隆平农业高科技股份有限公司,2018,1.0,农业,证监会2012年修订版,果蔬初加工|种子|种植,不适用,未定位,https://static.cninfo.com.cn/finalpage/2021-04-30/1209869906.PDF,21,年报及业务表已定位；收入、重叠和样本结论待人工复核,2017,0.758536,0.666667,否,否,否,是,快速表格核对,文本和业务类别相似度分流
000998,袁隆平农业高科技股份有限公司,2019,1.0,农业,证监会2012年修订版,果蔬初加工|种子,不适用,未定位,https://static.cninfo.com.cn/finalpage/2021-04-30/1209869907.PDF,22,年报及业务表已定位；收入、重叠和样本结论待人工复核,2018,0.812432,0.666667,否,否,否,是,快速表格核对,文本和业务类别相似度分流
000998,袁隆平农业高科技股份有限公司,2020,1.0,农业,证监会2012年修订版,果蔬初加工|种子,不适用,未定位,https://static.cninfo.com.cn/finalpage/2021-04-30/1209869920.PDF,21,年报及业务表已定位；收入、重叠和样本结论待人工复核,2019,0.875888,1.0,否,否,否,是,快速表格核对,文本和业务类别相似度分流
000998,袁隆平农业高科技股份有限公司,2021,1.0,农业,证监会2012年修订版,果蔬初加工|种子|种植|粮油初加工,不适用,未定位,https://static.cninfo.com.cn/finalpage/2022-04-26/1213109016.PDF,21,年报及业务表已定位；收入、重叠和样本结论待人工复核,2020,0.890328,0.5,否,否,否,是,快速表格核对,文本和业务类别相似度分流
000998,袁隆平农业高科技股份有限公司,2023,5.0,农、林、牧、渔专业及辅助性活动,中国上市公司协会2023版,农药|果蔬初加工|种子|种植,不适用,未定位,https://static.cninfo.com.cn/finalpage/2024-04-29/1219866222.PDF,31,已人工复核（第一批）,2021,0.745004,0.6,是,是,否,否,深度复核,行业代码变化（同时跨分类标准）；候选年份不连续，不能视为插值
001201,东瑞食品集团股份有限公司,2021,3.0,畜牧业,证监会2012年修订版,生猪|饲料,不适用,不适用,https://static.cninfo.com.cn/finalpage/2022-04-28/1213167484.PDF,17,年报及业务表已定位；收入、重叠和样本结论待人工复核,,,,首年,首年,首年,首年,首年锚点复核,该公司首次进入已核实行业候选，需要建立人工锚点
001201,东瑞食品集团股份有限公司,2023,3.0,畜牧业,中国上市公司协会2023版,生猪|饲料,勾选状态待核实,勾选状态待核实,https://static.cninfo.com.cn/finalpage/2024-04-30/1219910083.PDF,17,已人工复核（第一批）,2021,0.696262,1.0,否,是,否,否,快速表格核对,文本和业务类别相似度分流；候选年份不连续，不能视为插值
002041,山东登海种业股份有限公司,2013,1.0,农业,证监会2012年修订版,地产园林|果蔬初加工|种子,不适用,未定位,https://static.cninfo.com.cn/finalpage/2014-04-23/63896809.PDF,14,年报及业务表已定位；收入、重叠和样本结论待人工复核,,,,首年,首年,首年,首年,首年锚点复核,该公司首次进入已核实行业候选，需要建立人工锚点
002041,山东登海种业股份有限公司,2014,1.0,农业,证监会2012年修订版,地产园林|果蔬初加工|种子,不适用,未定位,https://static.cninfo.com.cn/finalpage/2015-04-21/1200876975.PDF,14,年报及业务表已定位；收入、重叠和样本结论待人工复核,2013,0.356209,1.0,否,否,否,是,标准人工复核,文本和业务类别相似度分流
002041,山东登海种业股份有限公司,2015,1.0,农业,证监会2012年修订版,种子|种植,不适用,不适用,https://static.cninfo.com.cn/finalpage/2016-07-13/1202467805.PDF,13,年报及业务表已定位；收入、重叠和样本结论待人工复核,2014,0.110913,0.25,否,否,否,是,深度复核,业务类别指纹变化较大
002041,山东登海种业股份有限公司,2016,1.0,农业,证监会2012年修订版,种子|种植,不适用,不适用,https://static.cninfo.com.cn/finalpage/2017-04-21/1203344879.PDF,16,年报及业务表已定位；收入、重叠和样本结论待人工复核,2015,0.830659,1.0,否,否,否,是,快速表格核对,文本和业务类别相似度分流
002041,山东登海种业股份有限公司,2017,1.0,农业,证监会2012年修订版,种子|种植,不适用,不适用,https://static.cninfo.com.cn/finalpage/2018-04-20/1204668180.PDF,17,年报及业务表已定位；收入、重叠和样本结论待人工复核,2016,0.786431,1.0,否,否,否,是,快速表格核对,文本和业务类别相似度分流
002041,山东登海种业股份有限公司,2018,1.0,农业,证监会2012年修订版,果蔬初加工|种子|种植,不适用,不适用,https://static.cninfo.com.cn/finalpage/2019-03-22/1205925542.PDF,16,年报及业务表已定位；收入、重叠和样本结论待人工复核,2017,0.721115,0.666667,否,否,否,是,快速表格核对,文本和业务类别相似度分流
002041,山东登海种业股份有限公司,2019,1.0,农业,证监会2012年修订版,果蔬初加工|种子|种植,不适用,未定位,https://static.cninfo.com.cn/finalpage/2020-04-22/1207552150.PDF,16,年报及业务表已定位；收入、重叠和样本结论待人工复核,2018,0.551718,1.0,否,否,否,是,快速表格核对,文本和业务类别相似度分流
002041,山东登海种业股份有限公司,2020,1.0,农业,证监会2012年修订版,种子|种植,勾选状态待核实,不适用,https://static.cninfo.com.cn/finalpage/2021-04-21/1209736731.PDF,17,年报及业务表已定位；收入、重叠和样本结论待人工复核,2019,0.536562,0.666667,否,否,否,是,标准人工复核,文本和业务类别相似度分流
002041,山东登海种业股份有限公司,2021,1.0,农业,证监会2012年修订版,地产园林|种子|种植,不适用,不适用,https://static.cninfo.com.cn/finalpage/2022-04-19/1212966700.PDF,17,年报及业务表已定位；收入、重叠和样本结论待人工复核,2020,0.211729,0.666667,否,否,否,是,标准人工复核,文本和业务类别相似度分流
002041,山东登海种业股份有限公司,2023,5.0,农、林、牧、渔专业及辅助性活动,中国上市公司协会2023版,地产园林|果蔬初加工|种子|种植,勾选状态待核实,未定位,https://static.cninfo.com.cn/finalpage/2024-04-23/1219737119.PDF,14,已人工复核（第一批）,2021,0.886454,0.75,是,是,否,否,深度复核,行业代码变化（同时跨分类标准）；候选年份不连续，不能视为插值
002069,獐子岛集团股份有限公司,2013,4.0,渔业,证监会2012年修订版,地产园林|水产|种子|贸易零售,不适用,未定位,https://static.cninfo.com.cn/finalpage/2014-05-06/63973420.PDF,17,年报及业务表已定位；收入、重叠和样本结论待人工复核,,,,首年,首年,首年,首年,首年锚点复核,该公司首次进入已核实行业候选，需要建立人工锚点
002069,獐子岛集团股份有限公司,2014,4.0,渔业,证监会2012年修订版,地产园林|水产|种子,不适用,未定位,https://static.cninfo.com.cn/finalpage/2015-04-28/1200922210.PDF,16,年报及业务表已定位；收入、重叠和样本结论待人工复核,2013,0.552248,0.75,否,否,否,是,快速表格核对,文本和业务类别相似度分流
002069,獐子岛集团股份有限公司,2015,4.0,渔业,证监会2012年修订版,水产|贸易零售,不适用,未定位,https://static.cninfo.com.cn/finalpage/2016-04-30/1202284288.PDF,17,年报及业务表已定位；收入、重叠和样本结论待人工复核,2014,0.117142,0.25,否,否,否,是,深度复核,业务类别指纹变化较大
002069,獐子岛集团股份有限公司,2016,4.0,渔业,证监会2012年修订版,水产|种子|贸易零售,不适用,未定位,https://static.cninfo.com.cn/finalpage/2017-03-21/1203181621.PDF,21,年报及业务表已定位；收入、重叠和样本结论待人工复核,2015,0.780355,0.666667,否,否,否,是,快速表格核对,文本和业务类别相似度分流
002069,獐子岛集团股份有限公司,2017,4.0,渔业,证监会2012年修订版,水产|贸易零售,不适用,未定位,https://static.cninfo.com.cn/finalpage/2018-04-28/1204829160.PDF,23,年报及业务表已定位；收入、重叠和样本结论待人工复核,2016,0.800046,0.666667,否,否,否,是,快速表格核对,文本和业务类别相似度分流
002069,獐子岛集团股份有限公司,2018,4.0,渔业,证监会2012年修订版,水产|贸易零售,不适用,未定位,https://static.cninfo.com.cn/finalpage/2019-04-27/1206124435.PDF,23,年报及业务表已定位；收入、重叠和样本结论待人工复核,2017,0.824537,1.0,否,否,否,是,快速表格核对,文本和业务类别相似度分流
002069,獐子岛集团股份有限公司,2019,4.0,渔业,证监会2012年修订版,水产|贸易零售,不适用,未定位,https://static.cninfo.com.cn/finalpage/2020-04-30/1207687672.PDF,26,年报及业务表已定位；收入、重叠和样本结论待人工复核,2018,0.798156,1.0,否,否,否,是,快速表格核对,文本和业务类别相似度分流
002069,獐子岛集团股份有限公司,2020,4.0,渔业,证监会2012年修订版,水产|贸易零售,不适用,不适用,https://static.cninfo.com.cn/finalpage/2021-04-29/1209860375.PDF,18,年报及业务表已定位；收入、重叠和样本结论待人工复核,2019,0.578028,1.0,否,否,否,是,快速表格核对,文本和业务类别相似度分流
002069,獐子岛集团股份有限公司,2021,4.0,渔业,证监会2012年修订版,水产|贸易零售,不适用,不适用,https://static.cninfo.com.cn/finalpage/2022-04-30/1213263535.PDF,15,年报及业务表已定位；收入、重叠和样本结论待人工复核,2020,0.770191,1.0,否,否,否,是,快速表格核对,文本和业务类别相似度分流
002069,獐子岛集团股份有限公司,2023,4.0,渔业,中国上市公司协会2023版,水产|种子|贸易零售,勾选状态待核实,未定位,https://static.cninfo.com.cn/finalpage/2024-04-27/1219862446.PDF,17,已人工复核（第一批）,2021,0.441894,0.666667,否,是,否,否,标准人工复核,文本和业务类别相似度分流；候选年份不连续，不能视为插值
002086,山东东方海洋科技股份有限公司,2013,4.0,渔业,证监会2012年修订版,地产园林|水产|贸易零售,不适用,未定位,https://static.cninfo.com.cn/finalpage/2014-04-19/63867012.PDF,19,年报及业务表已定位；收入、重叠和样本结论待人工复核,,,,首年,首年,首年,首年,首年锚点复核,该公司首次进入已核实行业候选，需要建立人工锚点
002086,山东东方海洋科技股份有限公司,2014,4.0,渔业,证监会2012年修订版,地产园林|水产|贸易零售,不适用,未定位,https://static.cninfo.com.cn/finalpage/2015-04-17/1200845873.PDF,15,年报及业务表已定位；收入、重叠和样本结论待人工复核,2013,0.836067,1.0,否,否,否,是,快速表格核对,文本和业务类别相似度分流
002086,山东东方海洋科技股份有限公司,2015,4.0,渔业,证监会2012年修订版,水产|贸易零售,不适用,不适用,https://static.cninfo.com.cn/finalpage/2016-04-16/1202185529.PDF,17,年报及业务表已定位；收入、重叠和样本结论待人工复核,2014,0.32505,0.666667,否,否,否,是,标准人工复核,文本和业务类别相似度分流
002086,山东东方海洋科技股份有限公司,2016,4.0,渔业,证监会2012年修订版,水产|贸易零售,不适用,未定位,https://static.cninfo.com.cn/finalpage/2017-04-06/1203251063.PDF,20,年报及业务表已定位；收入、重叠和样本结论待人工复核,2015,0.632548,1.0,否,否,否,是,快速表格核对,文本和业务类别相似度分流
002086,山东东方海洋科技股份有限公司,2017,4.0,渔业,证监会2012年修订版,水产|贸易零售,不适用,未定位,https://static.cninfo.com.cn/finalpage/2018-05-22/1204979376.PDF,21,年报及业务表已定位；收入、重叠和样本结论待人工复核,2016,0.895629,1.0,否,否,否,是,快速表格核对,文本和业务类别相似度分流
002086,山东东方海洋科技股份有限公司,2018,4.0,渔业,证监会2012年修订版,水产,不适用,不适用,https://static.cninfo.com.cn/finalpage/2019-06-07/1206341478.PDF,18,年报及业务表已定位；收入、重叠和样本结论待人工复核,2017,0.364427,0.5,否,否,否,是,标准人工复核,文本和业务类别相似度分流
