list_year,event_type,list_type,list_order,official_name_raw,official_name_normalized,rename_mark_in_source,document_name,document_number,document_date,publication_date,valid_from_rule,valid_until_rule,source_url,local_filename,source_pdf_page,extraction_status
2014,monitor_pass,第六次监测合格名单,1,北京首都农业集团有限公司,北京首都农业集团有限公司,0,农业部关于公布第六次监测合格农业产业化国家重点龙头企业名单的通知,农经发〔2014〕9号,2014-09-01,待核实,延续既有资格；监测日不是首次取得资格日,至后续监测、取消或其他正式资格事件更新,https://www.moa.gov.cn/nybgb/2014/shi/201712/P020180104776701107212.pdf,2014_monitor6.pdf,15,程序提取_官方声明数量校验通过_抽样版面复核
2014,monitor_pass,第六次监测合格名单,2,北京二商集团有限责任公司,北京二商集团有限责任公司,0,农业部关于公布第六次监测合格农业产业化国家重点龙头企业名单的通知,农经发〔2014〕9号,2014-09-01,待核实,延续既有资格；监测日不是首次取得资格日,至后续监测、取消或其他正式资格事件更新,https://www.moa.gov.cn/nybgb/2014/shi/201712/P020180104776701107212.pdf,2014_monitor6.pdf,15,程序提取_官方声明数量校验通过_抽样版面复核
2014,monitor_pass,第六次监测合格名单,3,*北京金色农华种业科技股份有限公司,北京金色农华种业科技股份有限公司,1,农业部关于公布第六次监测合格农业产业化国家重点龙头企业名单的通知,农经发〔2014〕9号,2014-09-01,待核实,延续既有资格；监测日不是首次取得资格日,至后续监测、取消或其他正式资格事件更新,https://www.moa.gov.cn/nybgb/2014/shi/201712/P020180104776701107212.pdf,2014_monitor6.pdf,15,程序提取_官方声明数量校验通过_抽样版面复核
2014,monitor_pass,第六次监测合格名单,4,北京秋实农业发展有限公司,北京秋实农业发展有限公司,0,农业部关于公布第六次监测合格农业产业化国家重点龙头企业名单的通知,农经发〔2014〕9号,2014-09-01,待核实,延续既有资格；监测日不是首次取得资格日,至后续监测、取消或其他正式资格事件更新,https://www.moa.gov.cn/nybgb/2014/shi/201712/P020180104776701107212.pdf,2014_monitor6.pdf,15,程序提取_官方声明数量校验通过_抽样版面复核
2014,monitor_pass,第六次监测合格名单,5,北京市华都峪口禽业有限责任公司,北京市华都峪口禽业有限责任公司,0,农业部关于公布第六次监测合格农业产业化国家重点龙头企业名单的通知,农经发〔2014〕9号,2014-09-01,待核实,延续既有资格；监测日不是首次取得资格日,至后续监测、取消或其他正式资格事件更新,https://www.moa.gov.cn/nybgb/2014/shi/201712/P020180104776701107212.pdf,2014_monitor6.pdf,15,程序提取_官方声明数量校验通过_抽样版面复核
2014,monitor_pass,第六次监测合格名单,6,北京德青源农业科技股份有限公司,北京德青源农业科技股份有限公司,0,农业部关于公布第六次监测合格农业产业化国家重点龙头企业名单的通知,农经发〔2014〕9号,2014-09-01,待核实,延续既有资格；监测日不是首次取得资格日,至后续监测、取消或其他正式资格事件更新,https://www.moa.gov.cn/nybgb/2014/shi/201712/P020180104776701107212.pdf,2014_monitor6.pdf,15,程序提取_官方声明数量校验通过_抽样版面复核
2014,monitor_pass,第六次监测合格名单,7,北京新发地农副产品批发市场中心,北京新发地农副产品批发市场中心,0,农业部关于公布第六次监测合格农业产业化国家重点龙头企业名单的通知,农经发〔2014〕9号,2014-09-01,待核实,延续既有资格；监测日不是首次取得资格日,至后续监测、取消或其他正式资格事件更新,https://www.moa.gov.cn/nybgb/2014/shi/201712/P020180104776701107212.pdf,2014_monitor6.pdf,15,程序提取_官方声明数量校验通过_抽样版面复核
2014,monitor_pass,第六次监测合格名单,8,北京红螺食品有限公司,北京红螺食品有限公司,0,农业部关于公布第六次监测合格农业产业化国家重点龙头企业名单的通知,农经发〔2014〕9号,2014-09-01,待核实,延续既有资格；监测日不是首次取得资格日,至后续监测、取消或其他正式资格事件更新,https://www.moa.gov.cn/nybgb/2014/shi/201712/P020180104776701107212.pdf,2014_monitor6.pdf,15,程序提取_官方声明数量校验通过_抽样版面复核
2014,monitor_pass,第六次监测合格名单,9,北京卓宸畜牧有限公司,北京卓宸畜牧有限公司,0,农业部关于公布第六次监测合格农业产业化国家重点龙头企业名单的通知,农经发〔2014〕9号,2014-09-01,待核实,延续既有资格；监测日不是首次取得资格日,至后续监测、取消或其他正式资格事件更新,https://www.moa.gov.cn/nybgb/2014/shi/201712/P020180104776701107212.pdf,2014_monitor6.pdf,15,程序提取_官方声明数量校验通过_抽样版面复核
2014,monitor_pass,第六次监测合格名单,10,北京顺鑫农业股份有限公司,北京顺鑫农业股份有限公司,0,农业部关于公布第六次监测合格农业产业化国家重点龙头企业名单的通知,农经发〔2014〕9号,2014-09-01,待核实,延续既有资格；监测日不是首次取得资格日,至后续监测、取消或其他正式资格事件更新,https://www.moa.gov.cn/nybgb/2014/shi/201712/P020180104776701107212.pdf,2014_monitor6.pdf,15,程序提取_官方声明数量校验通过_抽样版面复核
2014,monitor_pass,第六次监测合格名单,11,北京牵手果蔬饮品股份有限公司,北京牵手果蔬饮品股份有限公司,0,农业部关于公布第六次监测合格农业产业化国家重点龙头企业名单的通知,农经发〔2014〕9号,2014-09-01,待核实,延续既有资格；监测日不是首次取得资格日,至后续监测、取消或其他正式资格事件更新,https://www.moa.gov.cn/nybgb/2014/shi/201712/P020180104776701107212.pdf,2014_monitor6.pdf,15,程序提取_官方声明数量校验通过_抽样版面复核
2014,monitor_pass,第六次监测合格名单,12,北京方圆平安食品开发有限公司,北京方圆平安食品开发有限公司,0,农业部关于公布第六次监测合格农业产业化国家重点龙头企业名单的通知,农经发〔2014〕9号,2014-09-01,待核实,延续既有资格；监测日不是首次取得资格日,至后续监测、取消或其他正式资格事件更新,https://www.moa.gov.cn/nybgb/2014/shi/201712/P020180104776701107212.pdf,2014_monitor6.pdf,15,程序提取_官方声明数量校验通过_抽样版面复核
2014,monitor_pass,第六次监测合格名单,13,北京汇源饮料食品集团有限公司,北京汇源饮料食品集团有限公司,0,农业部关于公布第六次监测合格农业产业化国家重点龙头企业名单的通知,农经发〔2014〕9号,2014-09-01,待核实,延续既有资格；监测日不是首次取得资格日,至后续监测、取消或其他正式资格事件更新,https://www.moa.gov.cn/nybgb/2014/shi/201712/P020180104776701107212.pdf,2014_monitor6.pdf,15,程序提取_官方声明数量校验通过_抽样版面复核
2014,monitor_pass,第六次监测合格名单,14,中地种业(集团)有限公司,中地种业（集团）有限公司,0,农业部关于公布第六次监测合格农业产业化国家重点龙头企业名单的通知,农经发〔2014〕9号,2014-09-01,待核实,延续既有资格；监测日不是首次取得资格日,至后续监测、取消或其他正式资格事件更新,https://www.moa.gov.cn/nybgb/2014/shi/201712/P020180104776701107212.pdf,2014_monitor6.pdf,15,程序提取_官方声明数量校验通过_抽样版面复核
2014,monitor_pass,第六次监测合格名单,15,北京资源亚太饲料科技有限公司,北京资源亚太饲料科技有限公司,0,农业部关于公布第六次监测合格农业产业化国家重点龙头企业名单的通知,农经发〔2014〕9号,2014-09-01,待核实,延续既有资格；监测日不是首次取得资格日,至后续监测、取消或其他正式资格事件更新,https://www.moa.gov.cn/nybgb/2014/shi/201712/P020180104776701107212.pdf,2014_monitor6.pdf,15,程序提取_官方声明数量校验通过_抽样版面复核
2014,monitor_pass,第六次监测合格名单,16,北京三元食品股份有限公司,北京三元食品股份有限公司,0,农业部关于公布第六次监测合格农业产业化国家重点龙头企业名单的通知,农经发〔2014〕9号,2014-09-01,待核实,延续既有资格；监测日不是首次取得资格日,至后续监测、取消或其他正式资格事件更新,https://www.moa.gov.cn/nybgb/2014/shi/201712/P020180104776701107212.pdf,2014_monitor6.pdf,15,程序提取_官方声明数量校验通过_抽样版面复核
2014,monitor_pass,第六次监测合格名单,17,北京大北农科技集团股份有限公司,北京大北农科技集团股份有限公司,0,农业部关于公布第六次监测合格农业产业化国家重点龙头企业名单的通知,农经发〔2014〕9号,2014-09-01,待核实,延续既有资格；监测日不是首次取得资格日,至后续监测、取消或其他正式资格事件更新,https://www.moa.gov.cn/nybgb/2014/shi/201712/P020180104776701107212.pdf,2014_monitor6.pdf,15,程序提取_官方声明数量校验通过_抽样版面复核
2014,monitor_pass,第六次监测合格名单,18,中粮集团有限公司,中粮集团有限公司,0,农业部关于公布第六次监测合格农业产业化国家重点龙头企业名单的通知,农经发〔2014〕9号,2014-09-01,待核实,延续既有资格；监测日不是首次取得资格日,至后续监测、取消或其他正式资格事件更新,https://www.moa.gov.cn/nybgb/2014/shi/201712/P020180104776701107212.pdf,2014_monitor6.pdf,15,程序提取_官方声明数量校验通过_抽样版面复核
