stock_code,exchange,listed_legal_full_name,official_list_name,list_year,event_type,list_type,document_date,match_method,leading_firm_direct_match,temporal_caution,exchange_source_url,moa_source_url
000423,深圳证券交易所,东阿阿胶股份有限公司,东阿阿胶股份有限公司,2019,recognition,第六批新认定名单,2019-11-26,上市公司当前法人全称与官方名单标准化后完全一致,1,当前交易所法人全称；历史年度仍须核对更名生效日,https://www.szse.cn/api/report/index/companyGeneralization?secCode=000423,https://www.moa.gov.cn/nybgb/2019/201912/202004/P020200410023357640054.pdf
000423,深圳证券交易所,东阿阿胶股份有限公司,东阿阿胶股份有限公司,2023,monitor_pass,第十次监测合格名单,2023-05-12,上市公司当前法人全称与官方名单标准化后完全一致,1,当前交易所法人全称；历史年度仍须核对更名生效日,https://www.szse.cn/api/report/index/companyGeneralization?secCode=000423,https://www.moa.gov.cn/nybgb/2023/202306/202307/P020230719348171286633.pdf
000538,深圳证券交易所,云南白药集团股份有限公司,云南白药集团股份有限公司,2016,replacement,第七次监测递补名单（111家）,2016-10-14,上市公司当前法人全称与官方名单标准化后完全一致,1,当前交易所法人全称；历史年度仍须核对更名生效日,https://www.szse.cn/api/report/index/companyGeneralization?secCode=000538,https://www.moa.gov.cn/nybgb/2016/shiyiqi/201712/P020180624662692968052.pdf
000538,深圳证券交易所,云南白药集团股份有限公司,云南白药集团股份有限公司,2018,monitor_pass,第八次监测合格名单,2018-11-29,上市公司当前法人全称与官方名单标准化后完全一致,1,当前交易所法人全称；历史年度仍须核对更名生效日,https://www.szse.cn/api/report/index/companyGeneralization?secCode=000538,https://xccys.moa.gov.cn/gzdt/201812/t20181205_6314544.htm
000538,深圳证券交易所,云南白药集团股份有限公司,云南白药集团股份有限公司,2020,monitor_pass,第九次监测合格名单,2020-11-20,上市公司当前法人全称与官方名单标准化后完全一致,1,当前交易所法人全称；历史年度仍须核对更名生效日,https://www.szse.cn/api/report/index/companyGeneralization?secCode=000538,https://www.moa.gov.cn/nybgb/2020/202012/202102/P020210201587636946140.pdf
000538,深圳证券交易所,云南白药集团股份有限公司,云南白药集团股份有限公司,2023,monitor_pass,第十次监测合格名单,2023-05-12,上市公司当前法人全称与官方名单标准化后完全一致,1,当前交易所法人全称；历史年度仍须核对更名生效日,https://www.szse.cn/api/report/index/companyGeneralization?secCode=000538,https://www.moa.gov.cn/nybgb/2023/202306/202307/P020230719348171286633.pdf
000568,深圳证券交易所,泸州老窖股份有限公司,泸州老窖股份有限公司,2018,monitor_pass,第八次监测合格名单,2018-11-29,上市公司当前法人全称与官方名单标准化后完全一致,1,当前交易所法人全称；历史年度仍须核对更名生效日,https://www.szse.cn/api/report/index/companyGeneralization?secCode=000568,https://xccys.moa.gov.cn/gzdt/201812/t20181205_6314544.htm
000568,深圳证券交易所,泸州老窖股份有限公司,泸州老窖股份有限公司,2020,monitor_pass,第九次监测合格名单,2020-11-20,上市公司当前法人全称与官方名单标准化后完全一致,1,当前交易所法人全称；历史年度仍须核对更名生效日,https://www.szse.cn/api/report/index/companyGeneralization?secCode=000568,https://www.moa.gov.cn/nybgb/2020/202012/202102/P020210201587636946140.pdf
000568,深圳证券交易所,泸州老窖股份有限公司,泸州老窖股份有限公司,2023,monitor_pass,第十次监测合格名单,2023-05-12,上市公司当前法人全称与官方名单标准化后完全一致,1,当前交易所法人全称；历史年度仍须核对更名生效日,https://www.szse.cn/api/report/index/companyGeneralization?secCode=000568,https://www.moa.gov.cn/nybgb/2023/202306/202307/P020230719348171286633.pdf
000623,深圳证券交易所,吉林敖东药业集团股份有限公司,吉林敖东药业集团股份有限公司,2014,monitor_pass,第六次监测合格名单,2014-09-01,上市公司当前法人全称与官方名单标准化后完全一致,1,当前交易所法人全称；历史年度仍须核对更名生效日,https://www.szse.cn/api/report/index/companyGeneralization?secCode=000623,https://www.moa.gov.cn/nybgb/2014/shi/201712/P020180104776701107212.pdf
000623,深圳证券交易所,吉林敖东药业集团股份有限公司,吉林敖东药业集团股份有限公司,2018,monitor_pass,第八次监测合格名单,2018-11-29,上市公司当前法人全称与官方名单标准化后完全一致,1,当前交易所法人全称；历史年度仍须核对更名生效日,https://www.szse.cn/api/report/index/companyGeneralization?secCode=000623,https://xccys.moa.gov.cn/gzdt/201812/t20181205_6314544.htm
000623,深圳证券交易所,吉林敖东药业集团股份有限公司,吉林敖东药业集团股份有限公司,2020,monitor_pass,第九次监测合格名单,2020-11-20,上市公司当前法人全称与官方名单标准化后完全一致,1,当前交易所法人全称；历史年度仍须核对更名生效日,https://www.szse.cn/api/report/index/companyGeneralization?secCode=000623,https://www.moa.gov.cn/nybgb/2020/202012/202102/P020210201587636946140.pdf
000623,深圳证券交易所,吉林敖东药业集团股份有限公司,吉林敖东药业集团股份有限公司,2023,monitor_pass,第十次监测合格名单,2023-05-12,上市公司当前法人全称与官方名单标准化后完全一致,1,当前交易所法人全称；历史年度仍须核对更名生效日,https://www.szse.cn/api/report/index/companyGeneralization?secCode=000623,https://www.moa.gov.cn/nybgb/2023/202306/202307/P020230719348171286633.pdf
000663,深圳证券交易所,福建省永安林业(集团)股份有限公司,福建省永安林业（集团）股份有限公司,2014,monitor_pass,第六次监测合格名单,2014-09-01,上市公司当前法人全称与官方名单标准化后完全一致,1,当前交易所法人全称；历史年度仍须核对更名生效日,https://www.szse.cn/api/report/index/companyGeneralization?secCode=000663,https://www.moa.gov.cn/nybgb/2014/shi/201712/P020180104776701107212.pdf
000663,深圳证券交易所,福建省永安林业(集团)股份有限公司,福建省永安林业（集团）股份有限公司,2018,monitor_pass,第八次监测合格名单,2018-11-29,上市公司当前法人全称与官方名单标准化后完全一致,1,当前交易所法人全称；历史年度仍须核对更名生效日,https://www.szse.cn/api/report/index/companyGeneralization?secCode=000663,https://xccys.moa.gov.cn/gzdt/201812/t20181205_6314544.htm
