stock_code,year,historical_legal_full_name,name_source_url,name_effective_basis,delisting_date,delisting_source_url,review_status
002447,2013,大连壹桥海洋苗业股份有限公司,https://static.cninfo.com.cn/finalpage/2014-04-29/63939981.PDF,当期法定披露标题及证券代码,2022-06-28,https://www.szse.cn/disclosure/notice/general/t20220627_594302.html,已核实
002447,2014,大连壹桥海洋苗业股份有限公司,https://static.cninfo.com.cn/finalpage/2015-01-07/1200525437.PDF,更名公告明确2015-01-07前名称,2022-06-28,https://www.szse.cn/disclosure/notice/general/t20220627_594302.html,已核实
002447,2015,大连壹桥海参股份有限公司,https://static.cninfo.com.cn/finalpage/2015-01-07/1200525437.PDF,更名公告明确名称自2015-01-07生效,2022-06-28,https://www.szse.cn/disclosure/notice/general/t20220627_594302.html,已核实
002447,2016,大连壹桥海参股份有限公司,https://static.cninfo.com.cn/finalpage/2016-05-11/1202315005.PDF,当期法定披露标题及证券代码,2022-06-28,https://www.szse.cn/disclosure/notice/general/t20220627_594302.html,已核实
002477,2013,雏鹰农牧集团股份有限公司,https://static.cninfo.com.cn/finalpage/2018-04-27/1204806520.PDF,年度报告附注明确同一统一社会信用代码及上市主体,2019-10-22,https://www.szse.cn/disclosure/notice/general/t20191028_571600.html,已核实
002477,2014,雏鹰农牧集团股份有限公司,https://static.cninfo.com.cn/finalpage/2018-04-27/1204806520.PDF,年度报告附注明确同一统一社会信用代码及上市主体,2019-10-22,https://www.szse.cn/disclosure/notice/general/t20191028_571600.html,已核实
002477,2015,雏鹰农牧集团股份有限公司,https://static.cninfo.com.cn/finalpage/2018-04-27/1204806520.PDF,年度报告附注明确同一统一社会信用代码及上市主体,2019-10-22,https://www.szse.cn/disclosure/notice/general/t20191028_571600.html,已核实
002477,2016,雏鹰农牧集团股份有限公司,https://static.cninfo.com.cn/finalpage/2018-04-27/1204806520.PDF,年度报告附注明确同一统一社会信用代码及上市主体,2019-10-22,https://www.szse.cn/disclosure/notice/general/t20191028_571600.html,已核实
002477,2017,雏鹰农牧集团股份有限公司,https://static.cninfo.com.cn/finalpage/2018-04-27/1204806520.PDF,2017年度报告附注直接核实,2019-10-22,https://www.szse.cn/disclosure/notice/general/t20191028_571600.html,已核实
002477,2018,雏鹰农牧集团股份有限公司,https://static.cninfo.com.cn/finalpage/2019-04-25/1206091329.PDF,2018年度报告直接核实,2019-10-22,https://www.szse.cn/disclosure/notice/general/t20191028_571600.html,已核实
002505,2013,湖南大康牧业股份有限公司,https://static.cninfo.com.cn/finalpage/2014-03-08/63651041.PDF,法定收购报告书直接核实,2024-08-30,https://disc.static.szse.cn/disc/disk03/finalpage/2024-08-30/c983a041-2be4-48cc-aa93-a91db8411e06.PDF,已核实
002505,2014,湖南大康牧业股份有限公司,https://static.cninfo.com.cn/finalpage/2014-03-08/63651041.PDF,法定收购报告书直接核实,2024-08-30,https://disc.static.szse.cn/disc/disk03/finalpage/2024-08-30/c983a041-2be4-48cc-aa93-a91db8411e06.PDF,已核实
002505,2015,湖南大康牧业股份有限公司,https://static.cninfo.com.cn/finalpage/2020-05-26/1207857776.PDF,公司章程明确新名称于2016-05-25完成工商变更因而2015年仍使用旧名称,2024-08-30,https://disc.static.szse.cn/disc/disk03/finalpage/2024-08-30/c983a041-2be4-48cc-aa93-a91db8411e06.PDF,已核实
002505,2016,湖南大康国际农业食品股份有限公司,https://static.cninfo.com.cn/finalpage/2017-05-23/1203555554.PDF,法定披露明确新名称自2016-05-31启用,2024-08-30,https://disc.static.szse.cn/disc/disk03/finalpage/2024-08-30/c983a041-2be4-48cc-aa93-a91db8411e06.PDF,已核实
002505,2017,湖南大康国际农业食品股份有限公司,https://static.cninfo.com.cn/finalpage/2018-04-27/1204807288.PDF,2017年度报告直接核实,2024-08-30,https://disc.static.szse.cn/disc/disk03/finalpage/2024-08-30/c983a041-2be4-48cc-aa93-a91db8411e06.PDF,已核实
